en	hi
a bunch of books on book stand	पुस्तक स्टैंड पर पुस्तकों का एक गुच्छा
gold religious cross on top of golden ball	स्वर्ण गेंद के शीर्ष पर स्वर्ण धार्मिक क्रॉस
Candle on glass candle stand	कांच के मोमबत्ती स्टैंड पर मोमबत्ती
a blue wall beside tennis court	टेनिस कोर्ट के बगल में एक नीली दीवार
fine thin red hair	सूक्ष्म पतले लाल बाल
front springs of motocross motorcycle	मोटोक्रॉस मोटरसाइकिल के सामने स्प्रिंग्स
the tennis court is made up of sand and dirt	य़ह टेनिस कोर्ट रेत और धूल से बना है
court attendant sitting in chair	कुर्सी पर बैठे क़ोर्ट ऍटेंन्डेंट
a cross on the top of a spire	एक शिखर के शीर्ष पर एक क्रॉस
the cross is black	क्रॉस काला है
press box on tennis court	टेनिस कोर्ट पर प्रेस बॉक्स
the characters are chinese	य़ह पात्र चीनी हैं
date and time of photo	फोटो की तारीख और समय
Luggage sign in english and spanish	सामान का चिह्न अंग्रेजी और स्पेनिश में
box springs on bottom of bed	बिस्तर के तल पर बॉक्स स्प्रिंग्स
box springs with flower print	फूल के प्रिंट के साथ बॉक्स स्प्रिंग्स
fork under english muffin	अंग्रेजी मफिन के नीचे कांटा
there are two players in the court	क़ोर्ट में दो खिलाड़ी हैं
a man trying to cross	पार करने की कोशिश कर रहा एक आदमी
people on the second level	दूसरे स्तर पर लोग
Name and date stamp on picture	तस्वीर पर नाम और तारीख की मोहर
A stand of trees.	पेड़ों का एक झाड़।
umbrella to block sun	सूरज को अवरुद्ध करने के लिए छाता
the woman is waiting to cross the street	एक महिला सड़क पार करने के लिए इंतजार कर रही है
the lady appears to be going cross country skiing	महिला क्रॉस कंट्री स्कीइंग करती दिख रही है
White candle on a stand	एक स्टैंड पर सफेद मोमबत्ती
A grey rock wall forms a boundary of the enclosure	एक ग्रे पत्थ क़ी दीवार बाड़े की एक सीमा बनाती हुई
a large block entrance	एक बड़ा ब्लॉक प्रवेश द्वार
date when taken in yellow	पीले रंग में लिया गया
tail of cat forms a C	बिल्ली की पूंछ एक सी बनाती हुई
Wooden railing on second level	दूसरे स्तर पर लकड़ी की रेलिंग
white springs boxes and gears below train engine	सफेद स्प्रिंग्स बक्से और ट्रेन इंजन के नीचे गियर
time and date stamp on the photograph	तस्वीर पर समय और तारीख की मुहर
yellow fair pole on fence	बाड़ पर पीला निष्पक्ष पोल
baseball players dressed in gray and orange	ग्रे और नारंगी रंग के कपड़े पहने हुए बेसबॉल खिलाड़ी
teal sign with white asian characters	सफेद एशियाई पात्रों के साथ चैती साइन
Chain-link enclosure for tennis court	टेनिस कोर्ट के लिए चेन-लिंक संलग्नक
stand in the room	कमरे में खड़े हो जाओ
The window on the right on the second floor.	दूसरी मंजिल पर दाईं ओर की खिड़की।
Date stamp of photograph	फोटोग्राफ की तारीख का मोहर
large silver juice press	बड़े चांदी का रस प्रेस
the players in the dugout	डगआउट में खिलाड़ी
A white pot on the stand	स्टैंड पर एक सफेद मटका
Photo's date stamp.	फोटो की तारीख मोहर
hind leg forms one quadrant	पिछ्ला पैर एक चतुर्थांश बनाता है
Light green tennis court	हल्का हरा टेनिस कोर्ट
soccer players red shirt	फुटबॉल खिलाड़ी की लाल शर्ट
Gray television on stand	स्टैंड पर ग्रे टेलीविजन
a second meal plate.	भोजन की एक दूसरी थाली।
dark wooden wash stand	ग़ाढे रंग की लकड़ी का वाश स्टैंड
Cube-like cement block out-building with large square door	बड़े वर्ग द्वार के साथ घन-जैसा सीमेंट ब्लॉक ईमारत के बाहर
chinese characters on a red vehicle	एक लाल वाहन पर चीनी पात्र
blue tennis court area	नीला टेनिस कोर्ट क्षेत्र
Cement block outdoor flooring.	आउटडोर सीमेंट ब्लॉक फर्श।
the sign has asian characters	साइन में एशियाई वर्ण हैं
a cross sign on top of the tower	टॉवर के शीर्ष पर एक क्रॉस साइन
man is waiting to cross	आदमी पार होने की प्रतीक्षा कर रहा है
spikes on a players shoe	एक खिलाड़ी के जूते पर क़ीलें
a museum containing models of airplanes	एक संग्रहालय जिसमें हवाई जहाज़ों के मॉडलें हैं
date and time stamp on a picture	एक तस्वीर पर तारीख और समय की मुहर
Chinese characters on sign	चिन्ह पर चीनी अक्षर
an orange sign with written characters	लिखित अक्षरों के साथ एक नारंगी चिन्ह
Baseball players are in the background	बेसबॉल खिलाड़ी पृष्ठभूमि में हैं
Newspaper stand on the grass	अखबार स्टैंड घास पर हैं
young female date wearing a purple rhinestone sleeveless gown	एक बैंगनी स्फटिक स्लीवलेस गाउन पहनी हुई युवती
two people waiting to cross	पार करने हेतु इंतजार कर रहे दो लोग
the side of the second train	दूसरी ट्रेन का किनारा
the bird is stand on a tree branch	पक्षी एक पेड़ की शाखा पर खड़ा है
a black cross on a vertical stabilizer	एक ऊर्ध्वाधर स्टेबलाइजर पर एक काला क्रॉस
a green tennis court	एक हरी टेनिस कोर्ट
neutral makeup on both rain models	दोनों वर्षा मॉडलों पर तटस्थ मेकअप
the second bus has a blue sign	दूसरी बस में एक नीला चिन्ह है
This is some type of a fair.	यह किसी प्रकार का मेला है।
A display of different phone models	विभिन्न फोन मॉडलों का प्रदर्शन
microphone on the court	कोर्ट पर माइक्रोफोन
person doing a hand stand	व्यक्ति हाथों के बल खड़ा हुआ
springs of the seat	आसन की स्प्रिंग्स
A large pipe extending from the wall of the court.	कोर्ट की दीवार से निक्ली हुई एक बड़ी पाइप
rapid in fast water	तेजी से पानी में
a stone block train platform	एक पत्थर ब्लॉक का ट्रेन प्लेटफार्म
a book is on the night stand	नाइट स्टैंड पर एक किताब है
orange springs on the bottom of train	ट्रेन के तल पर नारंगी स्प्रिंग्स
a fast flowing river	एक तेज बहने वाली नदी
lighted signs for different forms of public transportation	सार्वजनिक परिवहन के विभिन्न रूपों के लिए रोशन संकेत
three windows on the second floor	दूसरी मंजिल पर तीन खिड़कियां
a dark blue sedan moving fast	एक गहरा नीला सेडान तेजी से बढ़ रहा है
zebras stand close together to watch for predators	ज़ेबरा शिकारियों को देखने के लिए एक साथ खड़े होते हैं
Gated street fair	गेटेड स्ट्रीट फेयर
surfboard forms a splash of water	सर्फ़बोर्ड पानी के छींटे बनाता है
paper triangle stand	कागज़ी त्रिकोण स्टैंड
a time and date stamp	एक समय और तारीख क़ी मोहर
english letter is white	अंग्रेजी अक्षर सफेद है
Brown box is on the tennis court	भूरा बॉक्स टेनिस कोर्ट पर है
a cross is on the tower	मीनार पर एक क्रॉस है
players in dirt circle	मिट्टी के वृत्त में खिलाड़ी
beige stair way going to second level	बेज सीढ़ी दूसरे स्तर तक़ जा रही है
grey concrete cross by the building	इमारत के बगल में ग्रे कांक्रीट क्रॉस
block for bench feet	बेंच के पैरों के लिए ब्लॉक
location characters are white	स्थान वर्ण सफेद हैं
Brown plastic fast food table	ब्राउन प्लास्टिक फास्ट फूड टेबल
The TV and stand in the living room	लिविंग रूम में टीवी और स्टैड
brown wooden stairs leading to second floor	दूसरी मंजिल तक जाने वाली भूरे रंग की लकड़ी की सीढ़ियाँ
very fine fabric and material	बहु उत्तम कपड़े और सामग्री
do not block intersection sign is above the right lane must turn right sign	चौराहे को ब्लॉक न करें सन्केत के ऊपर दाईं लेन को दाहिनी ओर मुड़ना चाहिए सन्केत है
The motorcycles are going fast	मोटरसाइकिलें तेजी से जा रही हैं
a fence behind the players	खिलाड़ियों के पीछे एक बाड़
the date on the photo	तस्वीर पर तारीख
the penalty box is white lined	सफेद लाइन से सीमांकित जुर्माना बॉक्स
the green sign with red and yellow characters	लाल और पीले वर्णों के साथ हरे रंग का चिह्न
A red metal frame forms the half pipe	आधा पाइप बनाता हुआ एक लाल धातु का फ्रेम
shadows of players on court	कोर्ट पर खिलाड़ियों की छाया
a red tennis shoe on players foot	खिलाड़ी के पैर में लाल टेनिस का जूता
clock face on wall date	तारीखी दीवार पर घड़ी का चेहरा
a group of people watching the baseball players	बेसबॉल खिलाड़ियों को देखने वाले लोगों का एक समूह
a woman on the opposite team trying to block the frisbee	विपक्षी टीम की एक महिला फ्रिसबी को रोकने की कोशिश कर रही है
a white stand on road	सड़क पर एक सफेद स्टैंड
Concrete forms in pavement	फुटपाथ में काकंरीट की संरचनाएं
man standing next to fruit stand	फल स्टैंड के बगल में खड़ा आदमी
A bed plastic stamp	एक बिस्तर प्लास्टिक की मोहर
girl showing cow at fair	मेले में गाय दिखाती लड़की
judge on side of court on blue platform	नीले मंच पर अदालत के पक्ष में न्यायाधीश
The top white cross.	शीर्ष पर सफेद क्रॉस।
Dirt on the players pants.	खिलाड़ियों की पैंट पर मिट्टी।
chain-linked fence behind players	खिलाड़ियों के पीछे चेन-लिंक बाड़
White paper on a black stand	काले स्टैंड पर श्वेत पत्र
March 7th is the date on the calendar	कैलेंडर पर 7 मार्च की तारीख है
Tray of white rice and english muffins	सफेद चावल और अंग्रेजी मफिन की ट्रे
a iron stand on back	एक लोहे का स्टैडं पृष्ठ्भुमि पर
red hat on baseball players head	बेसबॉल खिलाड़ी के सिर पर लाल टोपी
black and white tennis court netting	काले और सफेद टेनिस कोर्ट नेटिंग
second set of closed umbrellas	बंद छतरियों का दूसरा सेट
Bright red semi-gloss block wall	चमकदार लाल अर्ध-ग्लोस ब्लॉक दीवार
Three baseball players are in the field.	तीन बेसबॉल खिलाड़ी मैदान में हैं।
A block wall is behind the skate park	स्केट पार्क के पीछे एक ब्लॉक दीवार है
tail fine view of a red plane	एक लाल विमान की पूंछ का दृश्य
a group of ball players practicing	अभ्यास करने वाले गेंद खिलाड़ियों का एक समूह
a fine silver pocket watch	चांदी की उत्तम जेब घड़ी
the date stamp in the corner of the pic	तस्वीर के कोने में तारीख की मोहर
Red circle with white cross under right wing	दक्षिणपंथी के तहत सफेद क्रॉस के साथ लाल सर्कल
a metal stand for the flowers	फूलों के लिए एक धातु स्टैंड
A light reflecting on a tie press.	टाई प्रेस पर से प्रतिबिंबित होने वाला प्रकाश।
loose sediment forms on the rocks	चट्टानों पर ढीला तलछट बना हुआ
the hand is going to press a button	यह हाथ एक बटन दबाने जा रहा है
sign written in english and foreign language	अंग्रेजी और विदेशी भाषा में लिखे गये सन्केत
yellow stamp date near bottom	पीले रंग की तारीख की मोहर तल के पास
Street sign on a pole in english and chinese	अंग्रेजी और चीनी में एक पोल पर मार्ग़ संकेत
an english muffin sandwich	एक अंग्रेजी मफिन सैंडविच
many utility cables cross over the street	कई उपयोगिता केबल सड़क पर से जाते हुए
block sneakers with green laces	ग्रीन लेस के साथ ब्लॉक स्नीकर्स
Brown painted signature and date.	भूरे रन्ग में चित्रित हस्ताक्षर और तारीख
woman is behind the white line of a tennis court	महिला टेनिस कोर्ट की सफेद लाइन के पीछे है
a sign showing cross streets	एक संकेत चौराहा दिखा रहा है
farmer's market stand	किसान के बाज़ार का स्टैडं
banana on the stand	स्टैंड पर केला
logo stamp on the door	दरवाजे पर लोगो की मुहर
english breakfast tea text	अंग्रेजी नाश्ता चाय पाठ
Black bike seat with silver springs.	ब्लैक बाइक सीट सिल्वर स्प्रिंग्स के साथ।
white sign with blue asian characters on it	सफेद चिह्न नीले एशियाई वर्णों के साथ
Big springs on the bottom of train.	ट्रेन के निचले भाग पर बड़े स्प्रिंग्स
Small French coffee press.	छोटा फ्रेंच कॉफी प्रेस।
Landline phone on the night stand	नाइट स्टैंड पर लैंडलाइन फोन
A tin container decorated with Star Wars characters and themes	एक टिन का डब्बा स्टार वार्स पात्रों और विषयों के साथ सजाया हुआ
The players shoes are black.	खिलाड़ियों के जूते काले हैं।
Sis car models on top of each other	एक दूसरे के ऊपर सिस कार की मॉडलें
date of the recording	रिकॉर्डिंग की तारीख
a second pizza in a pan	एक पैन में दूसरा पिज्जा
cross walk lines on street	सड़क पर चलने के रेखाकिंत चिन्ह
two man standing on a tennis court	टेनिस कोर्ट पर खड़े दो शख्स
Cell phone is in stand.	सेल फोन स्टैंड में है।
Blue section of tennis court	टेनिस कोर्ट का नीला अन्श
A white plate with english muffins	अंग्रेजी मफिन के साथ एक सफेद प्लेट
A block in the wall.	दीवार में एक ब्लॉक।
a red sign advertising a fun fair	एक लाल सन्केत एक मजेदार मेले को विज्ञापित करते हुए
a cross on the front of a church	एक चर्च के सामने एक क्रॉस
the fence covered in netting at the end of the court	कोर्ट के अंत में जाल से ढ्का बाड़
Small section of baseline on a tennis court	एक टेनिस कोर्ट पर बेसलाइन का छोटा सा खंड
a platter of fine china	एक बढिया चीनी मिट्टी की थाली
Grey cross on a green dome top.	एक हरे गुंबद के शीर्ष पर ग्रे क्रॉस।
fading on the court	कोर्ट पर मुरझाह्ट
The date 01/03/2008 in yellow.	दिनांक 01/03/2008 पीले रंग में।
information stamp on image	छवि पर जानकारी की मुहर
yellow safety tape at a tennis court	एक टेनिस कोर्ट में पीला सुरक्षा टेप
Balconies on the second story of the buildings	इमारतों के दूसरे स्तर पर बाल्कनियाँ
Shades of the second biker	दूसरे बाइकर का छाया
a small black entertainment stand	एक छोटा काला मनोरंजन स्टैंड
thumb press into a doughnut	डोनट पे दबाव डालते हुए एक अंगूठा
The line on the tennis court is white.	टेनिस कोर्ट पर लाइन सफेद है।
mini hi-fi on small stand	छोटे स्टैंड पर मिनी हाई-फाई
two people stand next to the boat	नाव के पास दो लोग खड़े हैं
an english taxi cab is on the bridge	पुल पर एक अंग्रेजी टैक्सी कैब है
white TV stand on floor	फर्श पर सफेद टीवी स्टैंड
cross that sits atop the column on the left side	क्रॉस जो बाईं ओर के कॉलम के ऊपर है
Two baseball players at the plate	प्लेट में दो बेसबॉल खिलाड़ी
photo date on right	फोटो की तारीख दाहिने ओर
a fine meal on a plate	एक थाली में बढ़िया भोजन
a glass block window	एक ग्लास ब्लॉक की खिड़्की
time and date stamp on the picture	तस्वीर पर समय और तारीख की मुहर
sing is written in chinese and latin characters	गाना चीनी और लैटिन अक्षरों में लिखा गया है
fine, pale sand	महीन, फीका रेत
cone of plane appears dark, shiny and fast	विमान का शंकु गहरे चमकदार और तेज दिखाई देता है
round light gray large cement block	गोल हल्के धूसर रंग का बड़ा सीमेंट ब्लॉक
Large tv on black stand.	काले स्टैंड पर बड़ी टी.वी.
soccer players connect chin and forehead	फुटबॉल खिलाड़ी ठोड़ी और माथा जोड़ते हुए
a round wooden block	एक गोल लकड़ी का ब्लॉक
a juice press	एक जूस प्रेस
Railing on second floor of building	भवन की दूसरी मंजिल पर रेलिंग
white paper with pictures on stand on the table	मेज पर स्टैंड में चित्रों के साथ सफेद कागज
items for sale in stand	स्टैंड में बिक्री के लिए वस्तु
ridged metal pole stand to a large clock	एक बड़ी घड़ी के लिए धातु का बना रिज पोल स्टैडं
Silver metal monitor stand	सिल्वर मेटल मॉनिटर स्टैंड
Landscape shrub models on display	प्रदर्शन पर लैंडस्केप झाड़ी मॉडल
these are baseball players	ये बेसबॉल खिलाड़ी हैं
Cinder block base for fence	बाड़ के लिए सिंडर ब्लॉक बेस
A net in between the players	खिलाड़ियों के बीच एक जाल
the blue 28 on the back of the players shirt	खिलाड़ियों की पीठ पर नीले रंग की 28
the second level of the bus	बस का दूसरा स्तर
characters on the billboard	बिलबोर्ड पर अक्षर
The bolt underneath the springs.	स्प्रिंग्स के नीचे बोल्ट।
The net on a tennis court	एक टेनिस कोर्ट पर नेट
older dude on bicycle in a country where spanish/english are the official languages	वृध व्यक्ति साइकिल पर एक देश में जहां स्पेनिश / अंग्रेजी आधिकारिक भाषाएं हैं
Several models hanging in the air in the exhibit	प्रदर्शनी में हवा में लटके कई मॉडल
black utensils in a wooden block	लकड़ी के ब्लॉक में काले बर्तन
bird second in line	पक्षी दूसरी स्थान में
english flag printed umbrella	अंग्रेजी ध्वज मुद्रित छत्र
stamp on boy's left hand	लड़के के बाएं हाथ पर मोहर
person holding a block of ice	बर्फ का एक खंड पकड़े हुए व्यक्ति
large green and purple tennis court	बड़े हरे और बैंगनी टेनिस कोर्ट
A man taking a picture of the players.	खिलाड़ियों की तस्वीर ले रहा एक आदमी।
Yellow time and date stamp	पिली समय और तारीख मोहर
a fair weather cloud	एक उचित मौसम बादल
orange date print	नारंगी दिनांक प्रिंट
tennis players shaking hands	टेनिस खिलाड़ी हाथ मिलाते हुए
the block of hay	घास का ब्लॉक
there is a building behind the court	कोर्ट अदालत के पीछे एक इमारत है
proprietor of the mobile lemonade stand	मोबाइल नींबू पानी स्टैंड के मालिक
pole behind second baseman	दूसरे बेसमैन के पीछे पोल
Net separating a tennis	एक टेनिस कोर्ट को अलग करते हुए नेट
A table full of fine china.	बढिया चीनी बर्तन से भरी एक मेज।
The items on the top shelf have painted characters on them	शीर्ष शेल्फ पर वस्तुओं पे वर्ण चित्रित हैं
date palms on the grassy field	घास के मैदान में खजूर के पेड़
ground where bike stand	जमीन जहां बाइक खड़े होते हैं
the players are wearing cleats on their shoes	खिलाड़ी अपने जूतों में क्लीट्स पहने हुए हैं
green shrubbery that forms a circle around the pedestal	हरी झाड़ जो पेडस्टल के चारों ओर एक चक्र बनाती है
crosswalk for pedestrians to cross	पदयात्रियों के लिए क्रॉसवॉक
one side is in english	एक तरफ अंग्रेजी में है
The water bottle on the stand	स्टैंड पर पानी की बोतल
pair of hands typing fast on keyboard	कीबोर्ड पर तेजी से टाइप करते हुए हाथों की जोड़ी
second level of building	भवन का दूसरा स्तर
second man looking over first's shoulder	दूसरा आदमी पहले आद्मी के कंधे पर से देख रहा है
The birds are flying fast	पक्षी तेजी से उड़ रहे हैं
time stamp in corner of image	छवि के कोने में समय की मोहर
light stand beside bed	बिस्तर के पास लाइट स्टैंड
date 01/05/2011	दिनांक 01/05/2011
this court is green	यह कोर्ट हरी है
a table filled with assorted models and tools	मिश्रित मॉडलों और उपकरणों से भरी एक मेज़
The cave the wave forms.	गुफा रूपी तरंग ।
baseball players helmet	बेसबॉल खिलाड़ी का हेलमेट
Large cross outside of a church.	चर्च के बाहर एक बड़ा क्रॉस
fence on a baseball court	एक बेसबॉल कोर्ट पर बाड़
large green bench press on the table	मेज़ पर बड़ी हरी बेंच प्रेस
second car attached to train engine	ट्रेन इंजन से जुड़ी दूसरी कार
a white line cross walk.	एक सफेद लाइन क्रॉस वॉक।
expiration date in black ink	काली स्याही में समाप्ति की तारीख
box springs under a bed	एक बिस्तर के नीचे बॉक्स स्प्रिंग्स
white graffiti on a stand	एक स्टैंड पर सफेद भित्तिचित्र
block behind the woman	महिला के पीछे ब्लॉक
Glass safety rail on second floor.	दूसरी मंजिल पर ग्लास सेफ्टी रेल।
White marking on the court	कोर्ट पर सफेद निशान
bolt on cross walk sign	क्रॉस वॉक साइन पर बोल्ट
a white line a cross the field	एक सफेद लाइन मैदान को पार करते हुए
players wearing knee-high socks	खिलाड़ी घुटनों तक उच्च मोजे पहने हुए
second man skiing in snow	बर्फ में दूसरा आदमी स्कीइंग करता हुआ
a few people about to cross the road	सड़क पार करने जा रहे कुछ लोग
stop sign in english and farsi	अंग्रेजी और फारसी में रुकने का सन्केत
a rounded edged wood block	एक गोल बढ़त वाला लकड़ी का ब्लॉक
Television set on wooden stand	लकड़ी के स्टैंड पर टेलीविजन सेट
Four players standing on a tennis court	टेनिस कोर्ट पर खड़े चार खिलाड़ी
the tv stand is blacjk incolor	टीवी स्टैंड काले रन्ग का है
a team of good soccor players.	अच्छे सॉकर खिलाड़ियों की एक टीम।
the angel is holding a cross shield	परी एक क्रॉस शील्ड पकड़े हुए है
a cross on the top of the building	इमारत के शीर्ष पर एक क्रॉस
players watch from the dugout	खिलाड़ी डगआउट से देखते हुए
stand full of baseball fans	स्टैड्ं बेसबॉल प्रशंसकों से भरा हुआ स्टैड्ं
The cat is looking at the second cat.	एक बिल्ली दूसरी बिल्ली को देख रही है।
People with umbrellas waiting to cross the street.	छतरियों वाले लोग सड़क पार करने की प्रतीक्षा कर रहे हैं।
red ground of a tennis court	एक टेनिस कोर्ट का लाल मैदान
the second hand on the clock	घड़ी पर सैकडं का कांटा
the small cross on top of the headstone	हेडस्टोन के ऊपर छोटा सा क्रॉस
White cross walk in road	सड़क में व्हाइट क्रॉस वॉक
rusty springs beneath 'schwinn'	'श्विन' के नीचे जंग लगे स्प्रिंग्स
truck has two white Chinese characters	ट्रक में दो सफेद चीनी अक्षर हैं
a bunch of baseball players waiting for their turn	अपनी बारी की प्रतीक्षा कर रहा एक बेसबॉल खिलाड़ियों का झुंड
The sign is in arabic and english	संकेत अरबी और अंग्रेजी में है
a copy of vanity fair is displayed	वैनिटी फेयर की एक प्रति प्रदर्शित की गई है
the fine is 350 usd	शूल्क 350 ड़ॉलर है
a black second hand	एक काला सैकंड का कांटा
A postage stamp.	एक डाक टिकट।
advertisement on tennis court	टेनिस कोर्ट पर विज्ञापन
A fruit stand on the sidewalk	फुटपाथ पर एक फल स्टैंड
fair large legion of anti-climate change, 350.org, kites with tails in the overcast sky	जलवायु परिवर्तन के उचित बड़े विरासत 350.org, आसमान में पतंगों के साथ पतंग
the banana hanging from the stand	स्टैंड से लटका हुआ केला
a church tower with a cross on the roof	छत पर एक क्रॉस के साथ एक चर्च टॉवर
Lid of glass cake stand	ग्लास केक स्टैंड की ढक्कन
member of opposing team trying to block the shooter's shot	निशानेबाज का शॉट ब्लॉक करने की कोशिश कर रहा विरोधी टीम का सदस्य
the stand is stable	स्टैंड स्थिर है
batter being poured into a waffle press	बैटर को वफ़ल प्रेस में डाला जा रहा है
black metal fence behind a tennis court	एक टेनिस कोर्ट के पीछे काले धातु की बाड़
cross on the church roof	चर्च की छत पर क्रॉस
block on the pole	ध्रुव पर रोक
the second young lady is wearing capri-style jeans	दूसरी युवा महिला ने कैपरी स्टाइल की जींस पहनी हुई है
The blue tennis court	नीला टेनिस कोर्ट
Angels overlooking the cross	क्रॉस को ऊपर से देखते हुए स्वर्गदूत
black Samsung tv on the tv stand	टीवी स्टैंड पर काली सैमसंग की टीवी
Neon green time and date stamp	नियॉन ग्रीन में समय और तारीख की मोहर
the blue handle of a french press	एक फ्रेंच प्रेस के नीले हैंडल
an alarm clock on the night stand	नाईटस्टैंड पर एक अलार्म घड़ी
Dark colored stand a tv is on.	गहरे रंग का स्टैंड एक जिसपर एक टीवी है।
second traffic light on pole	पोल पर दूसरी ट्रैफिक लाइट
Old english writing on board	बोर्ड पर पुरानी अंग्रेजी का लेखन
this is a coffee press	यह एक कॉफी प्रेस है
Green grass forms the ground.	हरी घास ज़मीन पर।
sign laying on the second set of red apples	लाल सेब के दूसरे सेट पर सन्केत रखा हुआ है
A sign in not english	सन्केत अंग्रेजी में नहीं है
black remote on the tv stand	टीवी स्टैंड पर काला रिमोट
Windows logo stamp on laptop.	लैपटॉप पर विंडोज की मोहर।
french press coffee maker on the table	टेबल पर फ्रेंच प्रेस कॉफी मेकर
Black stand with microphone	माइक्रोफोन के साथ काली ब्लैक स्टैंड
little white english car with vertical oblong taillights	लम्बाकार टेललाइट्स के साथ छोटी सफेद अंग्रेजी गाड़ी
aqua press wall with white advertising signs	सफेद विज्ञापन संकेतों के साथ एक्वा प्रेस की दीवार
Soccer players on field.	मैदान पर फुटबॉल खिलाड़ी।
Top of net on tennis court	टेनिस कोर्ट पर नेट का उपरी हिस्सा
Coming fast around the bend	मोड़ के पास तेजी से आते हुए
Blue border around tennis court	टेनिस कोर्ट के चारों ओर ब्लू बॉर्डर
ink stamp print	स्याही मोहर प्रिंट
yellow sticker with asian characters	एशियाई अक्षरों के साथ पी्ली स्टीकर
second seat on motorcycle	मोटरसाइकिल पर दूसरी सीट
four female soccer players on a grassy field	एक घास के मैदान पर चार महिला फुटबॉल खिलाड़ी
date 2008 printed on the label	दिनांक 2008 लेबल पर मुद्रित किया गया है
grass tennis court	घास का टेनिस कोर्ट
colored springs on truck	ट्रक पर रंगीन स्प्रिंग्स
white cement block wall	सफेद सीमेंट ब्लॉक की दीवार
a cats closed eye forms a slit	एक बिल्ली की बंद आंख सँकरी दरार बनाती हुई
the judge's chair by the court	कोर्ट के बगल में न्यायाधीश की कुर्सी
a white surfboard stand next to yellow one	एक सफेद सर्फ़बोर्ड स्टैडं के बगल में पीले सर्फ़बोर्ड
a layer of fine sweet chocolate	महीन मीठी चॉकलेट की एक परत
the watermark is a block font	वॉटरमार्क एक ब्लॉक फ़ॉन्ट है
