en	ml
glass block privacy wall	ഗ്ലാസ് ബ്ലോക്ക് സ്വകാര്യ മതിൽ
knife block sitting on counter with knives in it	കത്തികൊണ്ട് കൗണ്ടറിൽ ഇരിക്കുന്ന കത്തി ബ്ലോക്ക്
a second pizza in a pan	ചട്ടിയിൽ രണ്ടാമത്തെ പിസ്സ
beige stair way going to second level	ബീജ് സ്റ്റെയർ വേ രണ്ടാം ലെവലിലേക്ക് പോകുന്നു
tan house with lighter colored second floor	ടാൻ ഹൗസിലെ ഇളം നിറമുള്ള രണ്ടാം നില
Balconies on the second story of the buildings	കെട്ടിടങ്ങളുടെ രണ്ടാമത്തെ നിലയിലെ ബാൽക്കണി
Lamp on the night stand to the left of the bed	രാത്രി സ്റ്റാന്റിലെ വിളക്ക് കട്ടിലിന്റെ ഇടതുവശത്ത് നിൽക്കുന്നു
a white alarm clock is on top of the night stand	നൈറ്റ് സ്റ്റാൻഡിന് മുകളിൽ ഒരു വെളുത്ത അലാറം ക്ലോക്ക് ഉണ്ട്
a black music stand	ഒരു കറുത്ത സംഗീത സ്റ്റാൻഡ്
the woman is waiting to cross the street	തെരുവ് മുറിച്ചുകടക്കാൻ കാത്തിരിക്കുന്ന സ്ത്രീ
these are baseball players	ഇവർ ബേസ്ബോൾ കളിക്കാരാണ്
Shadow on the court	കോർട്ടിലെ നിഴൽ
an alarm clock on the night stand	രാത്രി സ്റ്റാൻഡിൽ ഒരു അലാറം ക്ലോക്ക്
The date 01/03/2008 in yellow.	തീയതി 01/03/2008 മഞ്ഞയിൽ.
A brown stand next to a wall.	ഒരു മതിലിനടുത്ത് ഒരു ബ്രൗണ് സ്റ്റാന്റ്
Man seated at food court table	ഒരാൾ ഭക്ഷണശാല മേശയുടെ സമീപം ഇരിക്കുന്നു
date stamp of scene	സീനിന്റെ തീയതി സ്റ്റാമ്പ്
Staircase leading to the second floor	രണ്ടാം നിലയിലേക്ക് നയിക്കുന്ന ഗോവണി
a camera on a stand	സ്റ്റാൻഡിലിരിക്കുന്ന ക്യാമറ
clear plastic French press	വ്യക്തമായ പ്ലാസ്റ്റിക് ഫ്രഞ്ച് പ്രസ്സ്
people on the second level	രണ്ടാമത്തെ ലെവലിലെ ആളുകൾ
the court is made of sand	കളിസ്ഥലം മണലിൽ നിർമ്മിച്ചതാണ്
an english saddle above a saddle pad	ഒരു സാഡിൽ പാഡിന് മുകളിലുള്ള ഒരു ഇംഗ്ലീഷ് സാഡിൽ
many utility cables cross over the street	നിരവധി ഉപയോഗപ്രദമായ കേബിളുകൾ തെരുവിലൂടെ കടന്നുപോകുന്നു
Newspaper stand on the grass	ന്യൂസ്‌പേപ്പർ സ്റ്റാന്റ് പുല്ലിൽ
stand in the room	മുറിയിലെ സ്റ്റാന്റ്
a motorcycle is parked in front of the road block	റോഡ് ബ്ലോക്കിന് മുന്നിൽ ഒരു മോട്ടോർ സൈക്കിൾ പാർക്ക് ചെയ്തിരിക്കുന്നു
cross on top of church	പള്ളിയുടെ മുകളിലെ ക്രോസ്സ്
second car parked on the street	രണ്ടാമത്തെ കാർ തെരുവിൽ പാർക്ക് ചെയ്തു
sing is written in chinese and latin characters	ചൈനീസ്, ലാറ്റിൻ അക്ഷരങ്ങളിൽ സിംഗ് എഴുതിയിട്ടുണ്ട്
A red date stamp	ഒരു ചുവന്ന തീയതി സ്റ്റാമ്പ്
Railing on second floor of building	കെട്ടിടത്തിന്റെ രണ്ടാം നിലയിലെ റെയിലിംഗ്
black electric clock on night stand	രാത്രി സ്റ്റാൻഡിലെ കറുത്ത ഇലക്ട്രിക് ക്ലോക്ക്
a second daybed in room	മുറിയിലെ രണ്ടാമത്തെ ബഡ്
Paper on night stand	രാത്രി സ്റ്റാൻഡിലെ പേപ്പർ
stack of books on bed stand	ബെഡ് സ്റ്റാൻഡിൽ പുസ്തകങ്ങളുടെ ശേഖരം
the knife block is filled	കത്തി ബ്ലോക്ക് നിറഞ്ഞു
plant is on a metal stand	പ്ലാന്റ് ഒരു മെറ്റൽ സ്റ്റാൻഡിലാണ്
black metal plant stand	ബ്ലാക്ക് മെറ്റൽ പ്ലാന്റ് സ്റ്റാൻഡ്
Landline phone on the night stand	നൈറ്റ് സ്റ്റാൻഡിലെ ലാൻഡ്‌ലൈൻ ഫോൺ
wide brown night stand	വിശാലമായ തവിട്ട് നിറത്തിലെ ചെറിയ മേശ
Bizarre sculpture on a coffee stand	ഒരു കോഫി സ്റ്റാൻഡിലെ വിചിത്രമായ ശില്പം
two people waiting to cross	കടക്കാൻ കാത്തിരിക്കുന്ന രണ്ടുപേർ
sign on brass stand	പിച്ചളയിൽ പൊതിഞ്ഞ സ്റ്റാൻഡ്
neon sign in a second floor window	രണ്ടാം നിലയിലെ വിൻഡോയിൽ നിയോൺ ചിഹ്നം
green cross on top of building	കെട്ടിടത്തിന് മുകളിൽ പച്ച ക്രോസ്
date palms on the grassy field	പുല്ല് വയലിൽ ഈന്തപ്പനകൾ
Balconies on the second floor	രണ്ടാം നിലയിലെ ബാൽക്കണി
a block of buildings	കെട്ടിടങ്ങളുടെ ഒരു ബ്ലോക്ക്
a bunch of books on book stand	ബുക്ക് സ്റ്റാൻഡിലെ ഒരു കൂട്ടം പുസ്തകങ്ങൾ
Many stairs up to a second story.	രണ്ടാമത്തെ സ്റ്റോറി വരെ നിരവധി പടികൾ.
second paper notice in a row	തുടർച്ചയായി രണ്ടാമത്തെ പേപ്പർ അറിയിപ്പ്
second floor balcony	രണ്ടാം നിലയിലെ ബാൽക്കണി
Bag on the cement block	സിമൻറ് ബ്ലോക്കിലെ ബാഗ്
the door of second floor is brown	രണ്ടാം നിലയുടെ വാതിൽ തവിട്ടുനിറമാണ്
Curved stairs on the approach to the court yard	മുറ്റത്തിനു സമീപത്ത് വളഞ്ഞ പടികൾ
the cross is black	കുരിശ് കറുത്തതാണ്
grey block in sidewalk	നടപ്പാതയിലെ ചാരനിറത്തിലുള്ള ബ്ലോക്ക്
a large block entrance	ഒരു വലിയ ബ്ലോക്ക് പ്രവേശന കവാടം
a block paved sidewalk	ഒരു ബ്ലോക്ക് നടപ്പാത
people on the second floor	രണ്ടാം നിലയിലെ ആളുകൾ
night stand made of dark brown wood	ഇരുണ്ട തവിട്ടുനിറത്തിലുള്ള മരം കൊണ്ട് നിർമ്മിച്ച രാത്രി സ്റ്റാൻഡ്
the second cushioned seat	തലയണയുള്ള രണ്ടാമത്തെ സീറ്റ്
A net in between the players	കളിക്കാർക്കിടയിൽ ഒരു വല
a line of runway models	റൺ‌വേ മോഡലുകളുടെ ഒരു വരി
wooden cross hanging on a wall	മരം കുരിശ് ചുമരിൽ തൂക്കിയിരിക്കുന്നു
Sandwich on the second shelf.	രണ്ടാമത്തെ തട്ടിൽ സാൻഡ്‌വിച്ച്.
small white rocking chair with mother and child models in it	അമ്മയും കുട്ടിയും മോഡലുള്ള ചെറിയ വെളുത്ത റോക്കിംഗ് കസേര, അതിൽ കളുടെ
this is a fast food place	ഇതൊരു ഫാസ്റ്റ് ഫുഡ് സ്ഥലമാണ്
A cinder block wall.	ഒരു സിൻഡർ ബ്ലോക്ക് മതിൽ.
red painted lines on wooden court floor	മരം കോർട്ട് തറയിൽ ചുവന്ന ചായം പൂശിയ വരകൾ
the small cross on top of the headstone	ഹെഡ്‌സ്റ്റോണിന് മുകളിലുള്ള ചെറിയ കുരിശ്
a manual press machine	ഒരു മാനുവൽ പ്രസ്സ് മെഷീൻ
People looking to cross the road.	റോഡ് മുറിച്ചുകടക്കാൻ നോക്കുന്ന ആളുകൾ.
A black entertainment stand on wheels	ചക്രങ്ങളിൽ ഒരു കറുത്ത വിനോദം
A big tv on a stand	ഒരു സ്റ്റാൻഡിൽ ഒരു വലിയ ടിവി
The body of the stand up lamp.	സ്റ്റാൻഡ് അപ്പ് വിളക്കിന്റെ ബോഡി
three windows on the second floor	രണ്ടാം നിലയിലെ മൂന്ന് വിൻഡോകൾ
The window on the right on the second floor.	രണ്ടാം നിലയിലെ വലതുവശത്തുളള വിൻഡോ.
bolt on cross walk sign	ക്രോസ് വാക്ക് ചിഹ്നത്തിൽ ബോൾട്ട്
tennis court floor	ടെന്നീസ് കോർട്ട് ഫ്ലോർ
A girl on the tennis court is preparing to hit the ball	ടെന്നീസ് കോർട്ടിലുള്ള ഒരു പെൺകുട്ടി പന്ത് തട്ടാൻ ഒരുങ്ങുകയാണ്
Wooden railing on second level	രണ്ടാമത്തെ ലെവലിൽ മരം റെയിലിംഗ്
blue television on stand	സ്റ്റാൻഡിലിരിക്കുന്ന നീല ടെലിവിഷൻ
A metal and stone column holding a bell and cross.	മണിയും കുരിശും പിടിച്ചിരിക്കുന്ന ഒരു ലോഹവും കല്ലും.
White letters and numbers, indicating date and photographer.	തീയതിയും ഫോട്ടോഗ്രാഫറും സൂചിപ്പിക്കുന്ന വെളുത്ത അക്ഷരങ്ങളും അക്കങ്ങളും.
Propellers too fast to see.	പ്രൊപ്പല്ലറുകൾ കാണാൻ വളരെ വേഗത്തിലാണ്.
line of trees to the left of the court	കോർട്ടിന്റെ ഇടതുവശത്തുള്ള മരങ്ങളുടെ വരി
tv on a stand	ടിവി ഒരു സ്റ്റാൻഡിൽ
green tennis court with white lines	വെള്ള വരകളുള്ള ഗ്രീൻ ടെന്നീസ് കോർട്ട്
street sign advising of penalty	പെനാൽറ്റി ഉപദേശിക്കുന്ന തെരുവ് ചിഹ്നം
Several forms of public transportation	പൊതുഗതാഗതത്തിന്റെ നിരവധി രൂപങ്ങൾ
kick stand on motorcycle	മോട്ടോർ സൈക്കിളിന്റെ കിക്ക് സ്റ്റാൻഡ്
the tennis court	ടെന്നീസ് കോർട്ട്
fence in back of the court	കോർട്ടിന്റെ പുറകിലെ വേലി
Silver french press coffee maker	സിൽവർ ഫ്രഞ്ച് പ്രസ്സ് കോഫി മേക്കർ
a railing on a second story balcony	രണ്ടാമത്തെ നിലയിലെ ബാൽക്കണിയിൽ ഒരു ഇരുമ്പഴി
Red T-shirt with white cross patch	വെളുത്ത ക്രോസ്സ് പാച്ചുള്ള ചുവന്ന ടി-ഷർട്ട്
a fine meal on a plate	ഒരു പാത്രത്തിൽ നല്ല ഭക്ഷണം
white characters on the street	തെരുവിലെ വെളുത്ത പ്രതീകങ്ങൾ
cross next to the clock tower	ക്ലോക്ക് ടവറിന് അടുത്തായി കുരിശ്
person playing tennis on the court	കോർട്ടിൽ ടെന്നീസ് കളിക്കുന്ന വ്യക്തി
a man in the armed forces	സായുധ സേനയിലെ ഒരാൾ
Black tv on top of brown stand.	കറുത്ത നിറത്തിലെ ടീവി ചാര നിറത്തിലുള്ള സ്റ്റാൻഡിനു മുകളിരുന്നു
a black cross on a vertical stabilizer	വെർട്ടിക്കൽ സ്റ്റെബിലൈസറിൽ ഒരു കറുത്ത ക്രോസ്
a dark blue sedan moving fast	ഇരുണ്ട നീല സെഡാൻ വേഗത്തിൽ നീങ്ങുന്നു
A block of brown stones.	തവിട്ടുനിറത്തിലുള്ള കല്ലുകളുടെ ഒരു ബ്ലോക്ക്.
A person standing at the food stand.	ഫുഡ് സ്റ്റാൻഡിൽ നിൽക്കുന്ന ഒരാൾ.
Security officer making sure everyone is safe at the fair	മേളയിൽ എല്ലാവരും സുരക്ഷിതരാണെന്ന് സുരക്ഷാ ഉദ്യോഗസ്ഥൻ ഉറപ്പാക്കുന്നു
yellow time and date stamp	മഞ്ഞ സമയവും തീയതി സ്റ്റാമ്പും
boy standing on tennis court	പയ്യൻ ടെന്നീസ് കോർട്ടിൽ നിൽക്കുന്നു
"orange ""do not cross"" sign"	"ഓറഞ്ച് ""കടക്കരുത്"" ചിഹ്നം"
the players are moving	കളിക്കാർ നീങ്ങുന്നു
Kick stand on a motorcycle.	ഒരു മോട്ടോർ സൈക്കിളിലെ ലിവർ
They both are playing on a tennis court.	ഇരുവരും ടെന്നീസ് കോർട്ടിൽ കളിക്കുന്നു.
woman cross her arms	കൈ കെട്ടി നില്ക്കുന്ന സ്ത്രീ
The boy has a orange stamp on his hand.	ആൺകുട്ടിയുടെ കയ്യിൽ ഓറഞ്ച് സ്റ്റാമ്പ് ഉണ്ട്.
sign above the people at the fair	മേളയിൽ ആളുകൾക്ക് മുകളിൽ ഉള്ള ചിഹ്നം
picture hanging in the wall with anime characters	ചുമരിൽ തൂക്കിയിട്ടിരിക്കുന്ന ചിത്രത്തിൽ ആനിമേഷൻ പ്രതീകങ്ങളുണ്ട്
a net divides the court	ഒരു വല കോർട്ടിനെ വിഭജിക്കുന്നു
Two butcher block knive sets.	രണ്ട് കശാപ്പ് ബ്ലോക്ക് കത്തി സെറ്റുകൾ.
cross made of stone	കല്ലുകൊണ്ട് നിർമ്മിച്ച കുരിശ്
second story seating area	രണ്ടാമത്തെ സ്റ്റോറി സീറ്റിംഗ് ഏരിയ
english letter is white	ഇംഗ്ലീഷ് അക്ഷരം വെളുത്തതാണ്
the second bus has a blue sign	രണ്ടാമത്തെ ബസിന് നീല ചിഹ്നമുണ്ട്
Yellow and black pole with a yellow cross.	മഞ്ഞ ക്രോസ്സ് ഉള്ള മഞ്ഞയും, കറുത്തയും പോൾ
the sign has asian characters	ചിഹ്നത്തിൽ ഏഷ്യൻ പ്രതീകങ്ങളുണ്ട്
press box on tennis court	ടെന്നീസ് കോർട്ടിലെ പ്രസ്സ് ബോക്സ്
the sidewalk in front of the produce stand	ഉൽ‌പന്നങ്ങളുടെ മുന്നിലുള്ള നടപ്പാത
The top white cross.	മുകളിൽ വെളുത്ത കുരിശ്.
a small black entertainment stand	ഒരു ചെറിയ കറുത്ത വിനോദ സ്റ്റാൻഡ്
microphones are lined up on stand	മൈക്രോഫോണുകൾ സ്റ്റാൻഡിൽ അണിനിരനിരിക്കുന്നു
Woman getting ready to cross street	തെരുവ് മുറിച്ചുകടക്കാൻ ഒരുങ്ങുന്ന സ്ത്രീ
white lines painted on court	കോർട്ടിൽ വരച്ച വെളുത്ത വരകൾ
A pot is fitted in a stand.	ഒരു സ്റ്റാൻഡിൽ ഒരു കലം ഘടിപ്പിച്ചിരിക്കുന്നു.
white graffiti on a stand	ഒരു സ്റ്റാന്റിൽ വെളുത്ത ഗ്രാഫിറ്റി
Man cross country skiing.	ക്രോസ് കൺട്രി സ്കീയിംഗ് ചെയ്യുന്ന മനുഷ്യൻ
pendent on a fine chain	നേർത്ത ചെയിനിൽ പെൻഡന്റ്
blue tennis court	നീല ടെന്നീസ് കോർട്ട്
The right front window on the second level of the bus.	ബസിന്റെ രണ്ടാം ലെവലിൽ വലത് മുൻവശത്തെ വിൻഡോ.
large silver juice press	വലിയ സിൽവർ ജ്യൂസ് പ്രസ്സ്
Brown block and white house with pitched black roof.	കറുത്ത മേൽക്കൂരയുള്ള ബ്രൗൺ ബ്ലോക്കും വൈറ്റ് ഹൗസും
man cross country skiing during race	ഓട്ടത്തിനിടയിൽ ക്രോസ് കൺട്രി സ്കീയിംഗ് ചെയ്യുന്ന മനുഷ്യൻ
cross on top of steeple	സ്റ്റീപ്പിളിന് മുകളിൽ ഉള്ള ക്രോസ്സ്
second man skiing in snow	രണ്ടാമത്തെ മനുഷ്യൻ മഞ്ഞിൽ സ്കീയിംഗ് ചെയ്യുന്നു
the green sign with red and yellow characters	പച്ച ചിഹ്നത്തോടൊപ്പം ചുവപ്പ്, മഞ്ഞ പ്രതീകങ്ങൾ
a stone block train platform	ഒരു സ്റ്റോൺ ബ്ലോക്ക് ട്രെയിൻ പ്ലാറ്റ്ഫോം
Woman wearing a cross on her neck	കഴുത്തിൽ കുരിശ് ധരിച്ച സ്ത്രീ
A person waiting to cross the street	തെരുവ് മുറിച്ചുകടക്കാൻ കാത്തിരിക്കുന്ന ഒരാൾ
second traffic light on pole	ധ്രുവത്തിലെ രണ്ടാമത്തെ ട്രാഫിക് ലൈറ്റ്
Grey cross on a green dome top.	പച്ച താഴികക്കുടത്തിന്റെ മുകളിൽ ഗ്രേ ക്രോസ്സ്.
beige table lamp on stand	ബീജ് ടേബിൾ ലാമ്പ് സ്റ്റാൻഡിൽ
armed forces identifying patch for US Army	യുഎസ് ആർമിക്ക് പാച്ച് തിരിച്ചറിയുന്ന സായുധ സേന
Large models in the park field	പാർക്ക് ഫീൽഡിലെ വലിയ മോഡലുകൾ
This is some type of a fair.	ഇത് ഒരു തരം മേളയാണ്.
five wheels on the court	കോർട്ടിൽ അഞ്ച് ചക്രങ്ങൾ
a fast flowing river	വേഗത്തിൽ ഒഴുകുന്ന നദി
the block of hay	പുല്ലിന്റെ ബ്ലോക്ക്
a glass block window	ഒരു ഗ്ലാസ് ബ്ലോക്ക് വിൻഡോ
a grill press	ഒരു ഗ്രിൽ പ്രസ്സ്
block wall behind giraffe head	ജിറാഫിന്റെ തലയ്ക്ക് പിന്നിൽ തടി കൊണ്ടുള്ള മതിൽ
man stand on skateboard	മനുഷ്യൻ സ്കേറ്റ്ബോർഡിൽ നിൽക്കുന്നു
players' names in black on yellow background	മഞ്ഞ പശ്ചാത്തലത്തിൽ കളിക്കാരുടെ പേരുകൾ കറുപ്പിൽ
a block defining the space for the bench	ബെഞ്ചിനുള്ള ഇടം നിർവചിക്കുന്ന ഒരു ബ്ലോക്ക്
chairs and tables on the side of the court	കോർട്ടിന്റെ വശത്ത് കസേരകളും മേശകളും
soccer players in a light blue uniforms	ഇളം നീല നിറത്തിലുള്ള യൂണിഫോമിൽ സോക്കർ കളിക്കാർ
The word AUG in the date	തീയതിയിലെ ഓഗ് എന്ന വാക്ക്
Top of net on tennis court	ടെന്നീസ് കോർട്ടിൽ വലയുടെ മുകൾഭാഗം
date of the recording	റെക്കോർഡിംഗ് തീയതി
tennis court being used in a match	ഒരു മത്സരത്തിൽ ടെന്നീസ് കോർട്ട് ഉപയോഗിക്കുന്നു
A time date stamp in the corner	മൂലയിൽ ഒരു സമയ തീയതി സ്റ്റാമ്പ്
The players wear uniforms.	കളിക്കാർ യൂണിഫോം ധരിച്ചിരിക്കുന്നു.
the fair sky	മനോഹരമായ ആകാശം
a black fine tooth comb	കറുത്ത നേർത്ത പല്ലുള്ള ചീപ്പ്
the black fast forward arrow	കറുത്ത ഫാസ്റ്റ് ഫോർ‌വേഡ് അമ്പടയാളം
long single block in row	നീളമുള്ള ഒറ്റ ബ്ലോക്ക് വരിയിൽ
two players wearing white shorts	വെളുത്ത ഷോർട്ട്സ് ധരിച്ച രണ്ട് കളിക്കാർ
fast food on white plate	വൈറ്റ് പ്ലേറ്റിലെ ഫാസ്റ്റ് ഫുഡ്
Woman standing on tennis court	ടെന്നീസ് കോർട്ടിൽ നിൽക്കുന്ന സ്ത്രീ
Copy right date 2010	പകർപ്പവകാശ തീയതി 2010
letter on the wood block	വുഡൻ ബ്ലോക്കിലെ അക്ഷരം
Turnstyle entrance to court	കളിസ്ഥലത്തേക്കുള്ള പ്രവേശന കവാടം
yellowish green grass over fine tan sand	നേർത്ത ടാൻ മണലിന് മുകളിൽ മഞ്ഞകലർന്ന പച്ച പുല്ല്
The date 02/10/2009.	തീയതി 02/10/2009.
the shin guard on the players leg	കളിക്കാരുടെ കാലിലെ ഷിൻ ഗാർഡ്
the springs on the motorcycle	മോട്ടോർ സൈക്കിളിലെ സ്പ്രിങ്ങുകൾ
signature of artist and date	ആർട്ടിസ്റ്റിന്റെ ഒപ്പും തീയതിയും
Orange color night lamp with wooden stand	തടി സ്റ്റാൻഡുള്ള ഓറഞ്ച് കളർ നൈറ്റ് ലാമ്പ്
items for sale in stand	വിൽ‌പനയ്‌ക്കുള്ള ഇനങ്ങൾ‌ സ്റ്റാന്റിൽ
yellow fair pole on fence	വേലിയിലെ മഞ്ഞ പോൾ
the toys are on the stand	കളിപ്പാട്ടങ്ങൾ സ്റ്റാന്റിൽ ഇരിക്കുന്നു
small table lamp on the night stand	ചെറിയ മേശയിൽ ചെറിയ മേശ വിളക്ക്
playing on green and blue court	പച്ചയും, നീലയും ഉള്ള കോർട്ടിൽ കളിക്കുന്നു
black chinese characters n white sign	കറുത്ത ചൈനീസ് പ്രതീകങ്ങളും വെളുത്ത അടയാളവും
an english taxi cab is on the bridge	ഒരു ഇംഗ്ലീഷ് ടാക്സി ക്യാബ് പാലത്തിൽ ഉണ്ട്
Landscape shrub models on display	ലാൻഡ്‌സ്‌കേപ്പ് കുറ്റിച്ചെടി മോഡലുകൾ പ്രദർശിപ്പിച്ചിരിക്കുന്നു
Cartoon characters on top of the building.	കെട്ടിടത്തിന്റെ മുകളിലുള്ള കാർട്ടൂൺ പ്രതീകങ്ങൾ.
date stamp on photo is 8/23/08	ഫോട്ടോയിലെ സ്റ്റാമ്പിലെ തീയതി 8/23/08
date in the corner	മൂലയിൽ തീയതി
second wooden vertical slat from left	ഇടത് വശത്ത് നിന്ന് രണ്ടാമത്തെ വുഡൻ വെർട്ടിക്കൽ സ്ലാറ്റ്
colorful bus parked next to a stand and umbrella	വർണ്ണാഭമായ ബസ് ഒരു സ്റ്റാൻഡിനും കുടയ്ക്കും സമീപം നിർത്തി ഇട്ടിരിക്കുന്നു
The cat is looking at the second cat.	പൂച്ച രണ്ടാമത്തെ പൂച്ചയെ നോക്കുന്നു.
There is some fine sand here	കുറച്ച് നല്ല മണൽ ഇവിടെയുണ്ട്
Net across the tennis court	ടെന്നീസ് കോർട്ടിന് കുറുകെ ഉള്ള വല
there are english and Chinese characters	ഇംഗ്ലീഷ്, ചൈനീസ് പ്രതീകങ്ങൾ ഉണ്ട്
sign laying on the second set of red apples	ചുവന്ന ആപ്പിളിന്റെ രണ്ടാമത്തെ സെറ്റിൽ ഇടുക
this is a press conference	ഇതൊരു പത്രസമ്മേളനമാണ്
woman wearing dress about to cross street	തെരുവ് മുറിച്ചുകടക്കാൻ പോകുന്ന വസ്ത്രം ധരിച്ച സ്ത്രീ
A paper towel roll on a stand	ഒരു സ്റ്റാൻഡിൽ ഒരു പേപ്പർ ടവൽ റോൾ
The bolt underneath the springs.	സ്പ്രിങ്ങുകൾക്ക് താഴെയുള്ള ബോൾട്ട്.
two red metal springs	രണ്ട് ചുവന്ന ലോഹ സ്പ്രിങ്ങുകൾ
A time stamp on a video.	ഒരു വീഡിയോയിൽ ഒരു ടൈം സ്റ്റാമ്പ്.
fast looking yellow motorcycle	വേഗത്തിൽ കാണപ്പെടുന്ന മഞ്ഞ മോട്ടോർസൈക്കിൾ
cross walk lines on street	തെരുവിലെ ക്രോസ്സ് വാക്ക് ലൈനുകൾ
A display of different phone models	വ്യത്യസ്ത ഫോൺ മോഡലുകളുടെ പ്രദർശനം
large crack in tennis court	ടെന്നീസ് കോർട്ടിൽ വലിയ വിള്ളൽ
this is a concrete yellow block	ഇതൊരു കോൺക്രീറ്റ് മഞ്ഞ ബ്ലോക്കാണ്
Picture stamped date 8/10/2013.	ചിത്രം സ്റ്റാമ്പ് ചെയ്ത തീയതി 8/10/2013.
flower on ice block	ഐസ് ബ്ലോക്കിലെ പുഷ്പം
some watery plant forms	ചില ജലസസ്യങ്ങൾ
a man photographs two baseball players	ഒരാൾ രണ്ട് ബേസ്ബോൾ കളിക്കാരുടെ ഫോട്ടോ എടുക്കുന്നു
the date on the photo	ഫോട്ടോയുടെ ഉള്ളിലെ തീയതി
Two toasted English muffins on a plate.	ഒരു പ്ലേറ്റിൽ രണ്ട് ടോസ്റ്റ്ട് ഇംഗ്ലീഷ് മഫിനുകൾ.
sticker is blue+white and i think written in English+kanji	സ്റ്റിക്കർ നീലയും വെള്ളയുമാണ്, ഇംഗ്ലീഷുംകാഞ്ചിയിലും എഴുതിയതാണെന്ന് ഞാൻ കരുതുന്നു
this license plate has non-english characters	ഈ ലൈസൻസ് പ്ലേറ്റിൽ ഇംഗ്ലീഷ് അല്ലാത്ത പ്രതീകങ്ങളുണ്ട്
white block on the street	തെരുവിലെ വൈറ്റ് ബ്ലോക്ക്
many glorious forms of opportunistic weeds	അവസരവാദ കളകളുടെ മഹത്തായ പല രൂപങ്ങൾ
Signs on signpost naming streets and block numbers	സൈൻ‌പോസ്റ്റിൽ തെരുവ് നാമവും ബ്ലോക്ക് നമ്പറുകളിലും ഉള്ള അടയാളങ്ങൾ
Brown plastic fast food table	തവിട്ട് പ്ലാസ്റ്റിക് ഫാസ്റ്റ് ഫുഡ് ടേബിൾ
A backwards baseball hat on the players head.	കളിക്കാരന്റെ തലയിൽ പിന്നിലേ ക്ക്ഒരു ബേസ്ബോൾ തൊപ്പി.
a metal orange juice press	ഒരു മെറ്റൽ ഓറഞ്ച് ജ്യൂസ് പ്രസ്സ്
the trains are toy models	ട്രെയിനുകൾ കളിപ്പാട്ട മോഡലുകളാണ്
the net between the two players	രണ്ട് കളിക്കാർ ക്ക് ഇടയിലുളള വല
two guys in the background are observing the movements of the players	പശ്ചാത്തലത്തിലുള്ള രണ്ട് ആളുകൾ കളിക്കാരുടെ ചലനങ്ങൾ നിരീക്ഷിക്കുന്നു
yellow cross on a tie	ടൈയിലെ മഞ്ഞ ക്രോസ്
blue tennis court area	നീല ടെന്നീസ് കോർട്ട് ഏരിയ
A tennis court has snow on the surface	ഒരു ടെന്നീസ് കോർട്ടിന്റെ ഉപരിതലത്തിൽ മഞ്ഞ് ഉണ്ട്
