en	ml
Black hat with a red cross	ചുവന്ന കുരിശുള്ള കറുത്ത തൊപ്പി
Blue characters on a white background	വെളുത്ത പശ്ചാത്തലത്തിൽ നീല പ്രതീകങ്ങൾ
oranges and pears on the second layer of a fruit tree rack	ഒരു ഫ്രൂട്ട് ട്രീ റാക്കിന്റെ രണ്ടാമത്തെ തട്ടിൽ ഓറഞ്ചും പിയറും
Shadow of the man on the tennis court	ടെന്നീസ് കോർട്ടിലെ മനുഷ്യന്റെ നിഴൽ
the second base coach watches the play	രണ്ടാമത്തെ അടിസ്ഥാന പരിശീലകൻ കളി കാണുന്നു
brown mane on neck of second giraffe	രണ്ടാമത്തെ ജിറാഫിന്റെ കഴുത്തിൽ തവിട്ട് നിറമുള്ള കുഞ്ചിരോമം
name and website of photographer and Chinese characters	ഫോട്ടോഗ്രാഫറുടെയും ചൈനീസ് പ്രതീകങ്ങളുടെയും പേരും വെബ്‌സൈറ്റും
A fruit stand on the sidewalk	ഫുട്പാത്തിൽ ഒരു ഫ്രൂട്ട് സ്റ്റാന്റ്
cap on players head	കളിക്കാരന്റെ തലയിലെ തൊപ്പി
The black baseball mit on the players hand	കളിക്കാരുടെ കൈയിലുള്ള കറുത്ത ബേസ്ബോൾ മിറ്റ്
a music stand on a curb	ഒരു സംഗീത സ്റ്റാൻഡ്
A window on a second story shop.	രണ്ടാമത്തെ സ്റ്റോറി ഷോപ്പിലെ ഒരു വിൻഡോ.
Woman on a tennis court	ഒരു ടെന്നീസ് കോർട്ടിൽ സ്ത്രീ
The players are giving a high five	കളിക്കാർ ഹൈ ഫൈവ് നൽകുന്നു
red time stamp on the photo	ഫോട്ടോയിലെ ചുവന്ന സമയ സ്റ്റാമ്പ്
A light reflecting on a tie press.	ടൈ പ്രസ്സിൽ പ്രതിഫലിക്കുന്ന ഒരു പ്രകാശം.
yellow front of second train	രണ്ടാമത്തെ ട്രെയിനിന്റെ മഞ്ഞ ഫ്രണ്ട്
shadows of players on court	കോർട്ടിലെ കളിക്കാരുടെ നിഴലുകൾ
banana on the stand	സ്റ്റാന്റിലെ വാഴപ്പഴം
The sole of a second green shoe.	രണ്ടാമത്തെ പച്ച ഷൂവിന്റെ അടിഭാഗം
window on second level	രണ്ടാം ലെവലിൽ വിൻഡോ
the tennis court is made of grass	ടെന്നീസ് കോർട്ട് പുല്ലുകൊണ്ട് നിർമ്മിച്ചതാണ്
this sign is not in english	ഈ അടയാളം ഇംഗ്ലീഷിലില്ല
a cross on the front of a church	ഒരു പള്ളിയുടെ മുൻവശത്ത് ഉള്ള ഒരു കുരിശ്
ovan kept in the stand	ഓവൻ സ്റ്റാൻഡിൽ വെച്ചിരിക്കുന്നു
Electrical wire stand	ഇലക്ട്രിക്കൽ വയർ സ്റ്റാൻഡ്
A red cross forms on the floor.	തറയിൽ ഒരു ചുവന്ന കുരിശ് രൂപം കൊള്ളുന്നു
This part of the court is blue	കോർട്ടിന്റെ ഈ ഭാഗം നീലയാണ്
Angels overlooking the cross	ഉയരത്തിൽ നിന്ന് കുരിശിനെ നോക്കുന്ന മാലാഖാമാർ
surfboard forms a splash of water	സർഫ്ബോർഡ് വെള്ളം തെറിപ്പിക്കുന്നു
light stand beside bed	കട്ടിലിന് സമീപം ലൈറ്റ് സ്റ്റാൻഡ്
black metal fence behind a tennis court	ഒരു ടെന്നീസ് കോർട്ടിന് പിന്നിൽ കറുത്ത മെറ്റൽ വേലി
A stand of trees.	മരങ്ങളുടെ സ്റ്റാന്റ്.
information stamp on image	ചിത്രത്തിലെ വിവര സ്റ്റാമ്പ്
white sign with blue asian characters on it	നീല ഏഷ്യൻ പ്രതീകങ്ങളുള്ള വെളുത്ത ചിഹ്നം
fine grey gravel under players' legs	കളിക്കാരുടെ കാലുകൾക്ക് കീഴിലുള്ള ചാരനിറത്തിലുള്ള ചരൽ
second suitcase on bottom is orange	ചുവടെയുള്ള രണ്ടാമത്തെ സ്യൂട്ട്കേസ് ഓറഞ്ച് ആണ്
plants behind toy models	കളിപ്പാട്ട മോഡലുകൾക്ക് പിന്നിലുള്ള സസ്യങ്ങൾ
older dude on bicycle in a country where spanish/english are the official languages	സ്പാനിഷ് / ഇംഗ്ലീഷ് ഔദ്യോഗിക ഭാഷകളുള്ള രാജ്യത്ത് സൈക്കിളിൽ പഴയ സുഹൃത്ത്
the weather is fair	കാലാവസ്ഥ നല്ലതാണ്
tail fine view of a red plane	ചുവന്ന വിമാനത്തിന്റെ ലംബമായ വാൽഘടനയുടെ ഭാഗമായ ഒരു സ്റ്റെബിലൈസർ
zebras stand close together to watch for predators	വേട്ടക്കാരെ നിരീക്ഷിക്കാൻ സീബ്രകൾ ഒരുമിച്ച് നിൽക്കുന്നു
Black stand with microphone	മൈക്രോഫോണുള്ള കറുത്ത സ്റ്റാൻഡ്
The second highest rail of the jump	ചാടാനുള്ള രണ്ടാമത്തെ ഉയർന്ന റെയിൽ
Old english writing on board	ബോർഡിലെ പഴയ ഇംഗ്ലീഷ് എഴുത്ത്
black armed forces name on wing	കറുത്ത സായുധ സേനയുടെ പേര് ചിറകിൽ
a sign showing cross streets	ക്രോസ് സ്ട്രീറ്റുകൾ കാണിക്കുന്ന ഒരു അടയാളം
a stand of snow covered trees	മഞ്ഞുമൂടിയ മരങ്ങളുടെ ഒരു സ്റ്റാന്റ്
Silver cross necklace	സിൽവർ ക്രോസ്സ് നെക്ലേസ്
Date stamp 6/30/2013	തീയതി സ്റ്റാമ്പ് 6/30/2013
blue court on the ground	നിലത്ത് നീല കോർട്ട്
The sign is in arabic and english	ചിഹ്നം അറബിയിലും ഇംഗ്ലീഷിലും ആണ്
open door of a second bus	രണ്ടാമത്തെ ബസിന്റെ തുറന്ന വാതിൽ
the date and time indicating the time of picture	ചിത്രത്തിന്റെ സമയം സൂചിപ്പിക്കുന്ന തീയതിയും സമയവും
the angel is holding a cross shield	മാലാഖ ഒരു ക്രോസ് ഷീൽഡ് പിടിച്ചിരിക്കുന്നു
Baseball travelling fast in the air	ബേസ്ബോൾ വായുവിൽ വേഗത്തിൽ സഞ്ചരിക്കുന്നു
date stamp that reads 12/04/2010	12/04/2010 കാണുന്ന തീയതി സ്റ്റാമ്പ്
Safety railing on second story of building	കെട്ടിടത്തിന്റെ രണ്ടാം നിലയിലെ സുരക്ഷാ റെയിലിംഗ്
Chinese characters on the back of the truck	ട്രക്കിന്റെ പുറകിലുള്ള ചൈനീസ് പ്രതീകങ്ങൾ
chinese characters on the side of a bus	ഒരു ബസ്സിന്റെ വശത്തുള്ള ചൈനീസ് പ്രതീകങ്ങൾ
tail of elephant forms a circle	ആനയുടെ വാൽ ഒരു വൃത്തമായി മാറുന്നു
cross country ski racers skiing up a hill.	ക്രോസ് കൺട്രി സ്കൈ റേസർമാർ ഒരു കുന്നിൻ മുകളിലേക്ക് സ്കീയിംഗ് നടത്തുന്നു.
Tall lights at the court	കോർട്ടിലെ ഉയരമുള്ള ലൈറ്റുകൾ
block of black butcher knives	കറുത്ത കശാപ്പ് കത്തികളുടെ ബ്ലോക്ക്
man sitting in fruit stand	ഫ്രൂട്ട് സ്റ്റാൻഡിൽ ഇരിക്കുന്ന മനുഷ്യൻ
Cartoon characters on his shirt	അവന്റെ ഷർട്ടിൽ കാർട്ടൂൺ കഥാപാത്രങ്ങൾ
a stand next to the sink	സിങ്കിനടുത്തുള്ള ഒരു തട്ട്
a second meal plate.	രണ്ടാമത്തെ ഭക്ഷണ പ്ലേറ്റ്.
five baseball players	അഞ്ച് ബേസ്ബോൾ കളിക്കാർ
an unfinished block of wood	പണി പൂർത്തിയാകാത്ത തടിക്കഷ്ണം
antique golf clubs and stand	പുരാതന ഗോൾഫ് ക്ലബ്ബുകളും സ്റ്റാൻഡും
A motorcycle kick stand.	ഒരു മോട്ടോർസൈക്കിളിന്റെ കിക്ക് സ്റ്റാൻഡ്.
Curled metal legs on a candle stand	ഒരു ചുരുണ്ട ലോഹ കാലുകൾ ഉള്ള മെഴുകുതിരി സ്റ്റാന്റ്
Woman in an english style saddle	ഇംഗ്ലീഷ് ശൈലിയിലുള്ള സാഡിലിൽ സ്ത്രീ
pizza on a butcher block table	ഒരു കശാപ്പ് ബ്ലോക്ക് ടേബിളിൽ പിസ്സ
A wooden block holding up the boat	ബോട്ട് ഉയർത്തിപ്പിടിക്കുന്ന ഒരു വുഡൻ ബ്ലോക്ക്
A tennis player standing in the court	ഒരു ടെന്നീസ് കളിക്കാരൻ കോർട്ടിൽ നിൽക്കുന്നു
Silver metal monitor stand	സിൽവർ മെറ്റൽ ഉള്ള മോണിറ്റർ സ്റ്റാൻഡ്
fast motion image of woman walking in rain	മഴയിൽ നടക്കുന്ന സ്ത്രീയുടെ ഫാസ്റ്റ് മോഷൻ ചിത്രം
a watermark and date	ഒരു വാട്ടർമാർക്കും തീയതിയും
date and time stamp	തീയതി, സമയ സ്റ്റാമ്പ്
fine inscriptions on item	ഇനത്തിലെ മികച്ച ലിഖിതങ്ങൾ
The fast moving subway train	വേഗത്തിൽ നീങ്ങുന്ന സബ്‌വേ ട്രെയിൻ
rusty springs beneath 'schwinn'	'ഷ്വിന്നി'ന് ചുവടെയുള്ള തുരുമ്പിച്ച സ്പ്രിങ്ങുകൾ
This is a picture of Chinese characters	ചൈനീസ് പ്രതീകങ്ങളുടെ ചിത്രമാണിത്
a couple of elephants photoshopped to stand out	വേറിട്ടുനിൽക്കുന്ന ആനകളുടെ ഫോട്ടോഷോപ്പ്
Paper forms on the table.	ടേബിളിൽ പേപ്പർ ഫോമുകൾ.
white Arabic characters on sign	ചിഹ്നത്തിൽ വെളുത്ത അറബി ചിഹ്നം
block on the pole	തടിക്കട്ടയിലെ ധ്രുവം
fork under english muffin	ഇംഗ്ലീഷ് മഫിന് കീഴിലുള്ള ഫോർക്ക്
two young softball players sitting on the bench	രണ്ട് യുവ സോഫ്റ്റ്ബോൾ കളിക്കാർ ബെഞ്ചിൽ ഇരിക്കുന്നു
fence on a baseball court	ഒരു ബേസ്ബോൾ കോർട്ടിലെ വേലി
a cross on the top of the church	പള്ളിയുടെ മുകളിൽ ഒരു കുരിശ്
Bird models suspended in shopping mall.	ഷോപ്പിംഗ് മാളിൽ പക്ഷിയുടെ മോഡലുകൾ തൂക്കി ഇട്ടിരിക്കുന്ന
the tennis court is made up of sand and dirt	ടെന്നീസ് കോർട്ട് മണലും അഴുക്കും ചേർന്നതാണ്
characters on the billboard	പരസ്യബോർഡിലെ പ്രതീകങ്ങൾ
date book with plastic cover	പ്ലാസ്റ്റിക് കവറുള്ള തീയതി പുസ്തകം
Three players are wearing helmet.	മൂന്ന് കളിക്കാർ ഹെൽമെറ്റ് ധരിച്ചിരിക്കുന്നു
Wooden butcher block on kitchen sink.	അടുക്കള സിങ്കിൽ കശാപ്പ് ചെയ്യുന്ന തടിക്കട്ട
a fair weather cloud	നല്ല കാലാവസ്ഥാ മേഘം
a metal stand for the flowers	പൂക്കൾക്ക് ഒരു മെറ്റൽ സ്റ്റാൻഡ്
Date stamp of March 16th, 2008	2008 മാർച്ച് 16 ലെ തീയതി സ്റ്റാമ്പ്
A block wall is behind the skate park	സ്കേറ്റ് പാർക്കിന് പിന്നിൽ ഒരു ബ്ലോക്ക് മതിൽ ഉണ്ട്
wheels of train with springs	സ്പ്രിങ്ങുകൾ ഉള്ള ട്രെയിനിന്റെ ചക്രങ്ങൾ
dog forms splashes in the water	നായ വെള്ളം തെറിപ്പിക്കുന്നു
Booths at a street fair.	ഒരു തെരുവ് മേളയിലെ ബൂത്തുകൾ.
a cross country skier bending low	ഒരു ക്രോസ് കൺട്രി സ്കീയർ വളയുന്നു
There is a book stand that is filled with books.	പുസ്തകങ്ങളാൽ നിറഞ്ഞ ഒരു പുസ്തക സ്റ്റാൻഡുണ്ട്.
A TV stand sitting under TV	ടിവിയുടെ കീഴിൽ ഇരിക്കുന്ന ഒരു ടിവി സ്റ്റാൻഡ്
short tan entertainment stand	ചെറിയ ടാൻ വിനോദ സ്റ്റാന്റ്
small child cross country skiing	ചെറിയ കുട്ടി ക്രോസ് കൺട്രി സ്കീയിംഗ്
a man stand on dock	ഒരാൾ കപ്പലിൽ നിൽക്കുന്നു
a fast food ordering bar	ഒരു ഫാസ്റ്റ് ഫുഡ് ഓർഡറിംഗ് ബാർ
a blue wall beside tennis court	ടെന്നീസ് കോർട്ടിന് സമീപം ഒരു നീല മതിൽ
a cross in a church	ഒരു പള്ളിയിലെ ഒരു കുരിശ്
an American flag in the background of a press conference	പത്രസമ്മേളനത്തിന്റെ പശ്ചാത്തലത്തിൽ ഒരു അമേരിക്കൻ പതാക
models of airplanes on the tables	ടേബിലിലെ വിമാനങ്ങളുടെ മോഡലുകൾ
sharp knife on the chopping block	ചോപ്പിംഗ് ബ്ലോക്കിലെ മൂർച്ചയുള്ള കത്തി
A small food stand on wheels.	ചക്രങ്ങളിൽ ഒരു ചെറിയ ഭക്ഷണ സ്റ്റാൻഡ്.
man in a white hat on the tennis court	ടെന്നീസ് കോർട്ടിൽ വെളുത്ത തൊപ്പി ധരിച്ച മനുഷ്യൻ
White potted flowers on the tennis court	ടെന്നീസ് കോർട്ടിൽ വെളുത്ത പൂക്കൾ ഉള്ള ചെടിച്ചട്ടി
fine stitching on leash	തോൽവാറിലെ മികച്ച തുന്നൽ
yellow stamp date near bottom	മഞ്ഞ സ്റ്റാമ്പിലെ തീയതി ചുവടെ
pelican forms ripples with legs	പെലിക്കൻ കാലുകൾ ഉപയോഗിച്ച് അലകൾ ഉണ്ടാക്കുന്നു
The bench the players are sitting on.	കളിക്കാർ ഇരിക്കുന്ന ബെഞ്ച്.
egg shaped object on a stand	സ്റ്റാന്റിലെ മുട്ടയുടെ ആകൃതിയിലുള്ള വസ്തു
pair of hands typing fast on keyboard	കീബോർഡിൽ വേഗത്തിൽ ടൈപ്പുചെയ്യുന്ന രണ്ടു കൈകൾ
Baby fine light brown hair.	ബേബിയുടെ നേർത്ത ഇളം തവിട്ട് നിറമുള്ള മുടി.
A bed plastic stamp	ഒരു ബെഡ് പ്ലാസ്റ്റിക് സ്റ്റാമ്പ്
a stand with information	വിവരങ്ങളുള്ള ഒരു സ്റ്റാന്റ്
man working at stand	സ്റ്റാന്റിൽ ജോലി ചെയ്യുന്ന മനുഷ്യൻ
springs of the seat	ഇരിപ്പിടത്തിന്റെ സ്പ്രിങ്ങുകൾ
black TV stand with flat screen	ഫ്ലാറ്റ് സ്ക്രീനുള്ള കറുത്ത ടിവി സ്റ്റാൻഡ്
second seat on motorcycle	മോട്ടോർ സൈക്കിളിൽ രണ്ടാമത്തെ സീറ്റ്
12/22/2006 date stamp	12/22/2006 തീയതി സ്റ്റാമ്പ്
Concrete forms in pavement	നടപ്പാതയിൽ കോൺക്രീറ്റ് രൂപങ്ങൾ
time stamp on the picture	ചിത്രത്തിലെ ടൈം സ്റ്റാമ്പ്
the cross on the top of the building structure	കെട്ടിട ഘടനയുടെ മുകളിലുള്ള കുരിശ്
sunglasses of second rider	രണ്ടാമത്തെ റൈഡറിന്റെ സൺഗ്ലാസുകൾ
A block in the wall.	ചുമരിൽ ഒരു ബ്ലോക്ക്.
A round concert block	ഒരു റൗണ്ട് കൺസേർട്ട് ബ്ലോക്ക്
cross that sits atop the column on the left side	ഇടതുവശത്തുള്ള നിരയുടെ മുകളിൽ ഇരിക്കുന്ന ക്രോസ്സ്
location characters are white	ലൊക്കേഷൻ പ്രതീകങ്ങൾ വെളുത്തതാണ്
black utensils in a wooden block	ഒരു വുഡൻ ബ്ലോക്കിലെ കറുത്ത പാത്രങ്ങൾ
People at a fair.	ഒരു മേളയിൽ ആളുകൾ.
a brown horse with an english saddle	ഒരു തവിട്ടുനിറത്തിലുള്ള കുതിരയും കുതിരച്ചേണയും
photographers watermark and date	ഫോട്ടോഗ്രാഫരുടെ വാട്ടർമാർക്കും തീയതിയും
a person cross country skiing in the background	പശ്ചാത്തലത്തിൽ ഒരു വ്യക്തി ക്രോസ്സ് കൺട്രി സ്കീയിംഗ് ചെയ്യുന്നു
date 2008 printed on the label	തീയതി 2008 ലേബലിൽ അച്ചടിച്ചു
Tray of white rice and english muffins	വെളുത്ത അരിയുടെയും ഗോതമ്പപ്പത്തിന്റെയും ട്രേ
Red and silver sign with Asian characters	ചുവപ്പും വെള്ളിയും അടയാളം ഉള്ളഏഷ്യൻ പ്രതീകങ്ങൾ
person forces cow to ramble over rocks for unknown reason	അജ്ഞാതമായ കാരണത്താൽ പശുവിനെ പാറകളിൽ ഇടിക്കാൻ വ്യക്തി നിർബന്ധിക്കുന്നു
The white bins on the second shelf of the fridge.	ഫ്രിഡ്ജിലെ രണ്ടാമത്തെ തട്ടിലെ വെളുത്ത കൊട്ടകൾ
a player on second base	രണ്ടാമത്തെ അടിത്തറയിലുള്ള കളിക്കാരൻ
air forces flag	വ്യോമസേനയുടെ പതാക
the penalty box is white lined	പെനാൽറ്റി ബോക്സ് വെളുത്ത വരയാണ്
yellow plane with characters	പ്രതീകങ്ങളുള്ള മഞ്ഞ തലം
block sneakers with green laces	പച്ച ലെയ്സുകളുള്ള ഷൂ
White copyright stamp	വെളുത്ത പകർപ്പവകാശ സ്റ്റാമ്പ്
The tennis player's shadow is on the tennis court.	ടെന്നീസ് കളിക്കാരന്റെ നിഴൽ ടെന്നീസ് കോർട്ടിലാണ്.
case with cross on it also has red trim	കുരിശുള്ള ഉള്ള കേസിൽ ചുവന്ന ട്രിം ഉണ്ട്
Two baseball players talking to each other	രണ്ട് ബേസ്ബോൾ കളിക്കാർ പരസ്പരം സംസാരിക്കുന്നു
fair large legion of anti-climate change, 350.org, kites with tails in the overcast sky	കാലാവസ്ഥാ വ്യതിയാനത്തിന്റെ ന്യായമായ വലിയ ലെജിയൻ, മൂന്നൂറ്റി അമ്പത്.ഒർജി, മൂടിക്കെട്ടിയ ആകാശത്ത് വാലുള്ള കൈറ്റ്സ്
white cement block wall	വെളുത്ത സിമൻറ് ബ്ലോക്ക് മതിൽ
four female soccer players on a grassy field	പുൽമേടിൽ നാല് വനിതാ കാല്പന്ത് കളിക്കാർ
models posing on motorcycle	മോട്ടോർ സൈക്കിളിൽ പോസ് ചെയ്യുന്ന മോഡലുകൾ
bird characters on top of a brown cake	ഒരു തവിട്ട് കേക്കിന് മുകളിലുള്ള പക്ഷി പ്രതീകങ്ങൾ
orange time and date stamp	ഓറഞ്ച് സമയവും തീയതി സ്റ്റാമ്പും
black mit in players hand	കളിക്കാരുടെ കൈയിൽ കറുത്ത മിറ്റ്
girl showing cow at fair	പെൺകുട്ടി പശുവിനെ മേളയിൽ കാണിക്കുന്നു
the watermark is a block font	വാട്ടർമാർക്ക് ഒരു ബ്ലോക്ക് ഫോണ്ടാണ്
tennis player on the green colored section of a court	ഒരു കോർട്ടിന്റെ പച്ച നിറത്തിലുള്ള വിഭാഗത്തിൽ ടെന്നീസ് കളിക്കാരൻ
the chinese characters on the vase	പൂത്തട്ടത്തിലെ ചൈനീസ് പ്രതീകങ്ങൾ
chinese characters are in the sign	ചൈനീസ് പ്രതീകങ്ങൾ അടയാളത്തിലാണ്
fine thin red hair	നേർത്ത ചുവന്ന മുടി
Yellow ball on the court.	കോർട്ടിൽ മഞ്ഞ പന്ത്.
a team of good soccor players.	നല്ല സോക്കർ കളിക്കാരുടെ ഒരു ടീം.
yellow date and time stamp	മഞ്ഞ തീയതിയും സമയ സ്റ്റാമ്പും
A postage stamp.	ഒരു തപാൽ സ്റ്റാമ്പ്.
The light forms a rainbow	ആ വെളിച്ചം ഒരു മഴവില്ലായി മാറുന്നു
surfer stand a surfboard	സർഫർ ഒരു സർഫ്ബോർഡിൽ നിൽക്കുന്നു
english breakfast tea text	ഇംഗ്ലീഷ് പ്രഭാതഭക്ഷണ ചായ വാചകം
a hard true tennis court	ഹാർഡ് ട്രൂ ടെന്നീസ് കോർട്ട്
Buttons for pedestrians to cross the street	കാൽനടയാത്രക്കാർക്ക് തെരുവ് മുറിച്ചുകടക്കുന്നതിനുള്ള ബട്ടണുകൾ
box springs on bottom of bed	കിടക്കയുടെ അടിയിൽ ബോക്സ് സ്പ്രിങ്ങുകൾ
The picture has a date stamp	ചിത്രത്തിന് ഒരു തീയതി സ്റ്റാമ്പ് ഉണ്ട്
a train stop block	ഒരു ട്രെയിൻ നിർത്തുന്ന ബ്ലോക്ക്
the springs are silver	സ്പ്രിങ്ങുകൾ വെള്ളിയാണ്
orange line on court	കോർട്ടിൽ ഓറഞ്ച് ലൈൻ
a iron stand on back	പുറകിൽ ഒരു ഇരുമ്പ് സ്റ്റാൻഡ്
green shrubbery that forms a circle around the pedestal	പച്ച കുറ്റിച്ചെടി, അത് പീഠത്തിന് ചുറ്റും വൃ ത്താകൃതിയിൽ നിൽക്കുന്നു.
A white box with a red cross.	ചുവന്ന കുരിശുള്ള ഒരു വെളുത്ത പെട്ടി.
a triangle forms on brick	ഇഷ്ടികയിലെ ഒരു ത്രികോണ രൂപം
fast food	ഫാസ്റ്റ് ഫുഡ്
person has a stamp on her hand	വ്യക്തിയുടെ കൈയിൽ ഒരു സ്റ്റാമ്പ് ഉണ്ട്
Photo date stamp	ഫോട്ടോയുടെ തീയതി സ്റ്റാമ്പ്
snow on the trees at a cross-country ski race	ഒരു ക്രോസ്-കൺട്രി സ്കൈ മൽസരത്തിൽ മരങ്ങളിൽ മഞ്ഞ്
little girl standing on a tennis court	ഒരു ചെറിയ പെൺകുട്ടി ടെന്നീസ് കോർട്ടിൽ നിൽക്കുന്നു
woman sitting on a stone block	ഒരു കല്ലിൽ ഇരിക്കുന്ന സ്ത്രീ
four men on court	മൈതാനത്തു നാലുപേര്
postage stamp with liberty bell	സ്വാതന്ത്ര്യമണി ഉള്ള തപാൽ സ്റ്റാമ്പ്
The block for the post	പോസ്റ്റിനായുള്ള ബ്ലോക്ക്
yellow tennis balls on court	കോർട്ടിലെ മഞ്ഞ ടെന്നീസ് പന്തുകൾ
the players hanging out in the dugout	ഡഗ് ഔട്ടിൽ ഇരിക്കുന്ന കളിക്കാർ
a man sitting cross legged in the grass	പുല്ലിൽ ചമ്രം പടഞ്ഞിരിക്കുന്ന ആൾ
advertisement on tennis court	ടെന്നീസ് കോർട്ടിൽ പരസ്യം
White marking on the court	കോർട്ടിലെ വെളുത്ത അടയാളം
four shadowy forms of giraffes seemingly looking forward	മുന്നിലേക്ക് നീങ്ങുന്ന ജിറാഫുകളുടെ നിഴൽ നിറഞ്ഞ നാല് രൂപങ്ങൾ
date and hotel that the photo was taken	ഫോട്ടോ എടുത്ത തീയതിയും ഹോട്ടലും
front springs of motocross motorcycle	മോട്ടോക്രോസ്സ് മോട്ടോർസൈക്കിളിന്റെ മുൻപിലുള്ള സ്പ്രിങ്ങുകൾ
bat stand in middle of bats	ബാറ്റ്സ് നടുവിൽ ഉള്ള ബാറ്റ് സ്റ്റാൻഡ്
there is a building behind the court	കോർട്ടിന് പിന്നിൽ ഒരു കെട്ടിടമുണ്ട്
bed pillow with cartoon characters on it	ബെഡ് തലയിണയിൽ കാർട്ടൂൺ പ്രതീകങ്ങൾ
food on english muffin with yellow sauce	മഞ്ഞ സോസ് ഉപയോഗിച്ച് ഇംഗ്ലീഷ് മഫിനിലെ ഭക്ഷണം
a bench along a tennis court	ഒരു ടെന്നീസ് കോർട്ടിലെ ഒരു ബെഞ്ച്
Baseball cap to block sun	സൂര്യനെ തടയാനുള്ള ബേസ്ബോൾ തൊപ്പി
a golden stand for the tub	സ്നാനതൊട്ടിക്കായി സ്വർണ്ണ നിറത്തിലുള്ള ഒരു സ്റ്റാൻഡ്
area next to pot stand	പോട്ട് സ്റ്റാൻഡിന് അടുത്തുള്ള പ്രദേശം
Three baseball players wearing white uniforms are in the background.	വെളുത്ത യൂണിഫോം ധരിച്ച മൂന്ന് ബേസ്ബോൾ കളിക്കാർ പശ്ചാത്തലത്തിൽ
The players shoes are black.	കളിക്കാരന്റെ ഷൂസ് കറുത്തതാണ്.
fine whiskers on animal's chin	മനോഹരമായ താടിരോമം
two horses stand on hill	രണ്ട് കുതിരകൾ കുന്നിൻ മുകളിൽ നിൽക്കുന്നു
chair is decorated with Disney characters	കസേര ഡിസ്നി പ്രതീകങ്ങളാൽ അലങ്കരിച്ചിരിക്കുന്നു
the date is orange	തീയതി ഓറഞ്ച് നിറത്തിൽ ആണ്
batter being poured into a waffle press	മാവ് കേക്കിന്റെ അച്ചിലേക്ക് ഒഴിക്കുക
This could be at a science fair.	ഇത് ഒരു ശാസ്ത്രമേളയിൽ ആകാം.
fine toothed blade of knife	ഫൈൻ പല്ലുള്ള കത്തിയുടെ ബ്ലേഡ്
Shadow running across a tennis court	ഒരു ടെന്നീസ് കോർട്ടിലുടനീളം ഷാഡോ
the blue handle of a french press	ഒരു ഫ്രഞ്ച് അച്ചിന്റെ നീല ഹാൻഡിൽ
A dark wooden cross with a small sign attached	ഒരു ചെറിയ ചിഹ്നമുള്ള ഇരുണ്ട തടി കുരിശ്
Man trying to block the throwing of a frisbee	ഫ്രിസ്‌ബീ എറിയുന്നത് തടയാൻ ഒരു മനുഷ്യൻ ശ്രമിക്കുന്നു
top of tennis court	ടെന്നീസ് കോർട്ടിന് മുകളിൽ
